GENUS$,SPECIES$,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
Pterocarpus,rohrii,Fabaceae:Pap,0.496,0.172620,20.3,27.3,0.129,0.094,0.032,5403,25.4,23.9,19.0,4450,0.034,0.022,0.0044,338,35.2,32.2,23.2,293
Quararibea,asterolepis,Bombacaceae,0.468,0.079973,33.5,47.8,0.104,0.081,0.031,5282,17.7,14.7,10.8,4323,0.053,0.04,0.0126,2714,15.4,10.1,6.9,2186
Quassia,amara,Simaroubacea,0.527,0.150680,7.3,53.3,0.097,0.067,0.024,377,11.7,10.3,7.6,314,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Randia,armata,Rubiaceae,0.643,0.085212,11.3,46.4,0.106,0.081,0.030,2696,18.9,17.1,12.2,2243,0.026,0.02,0.0069,1088,16.2,13.1,9.6,871
Rinorea,sylvatica,Violaceae,0.673,-99.000000,7.0,49.3,0.086,0.064,0.020,10587,17.0,16.0,12.9,8650,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Simarouba,amara,Simaroubacea,0.390,0.111140,30.1,42.7,0.216,0.164,0.065,2679,47.8,41.6,32.0,2169,0.078,0.063,0.0293,1089,30.9,26.4,20.0,881
Siparuna,pauciflora,Monimiaceae,0.458,-99.000000,7.7,51.4,0.153,0.111,0.042,747,43.1,38.5,29.8,578,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Sloanea,terniflora,Elaeocarpace,0.815,-99.000000,34.1,54.1,0.079,0.055,0.017,1767,12.2,10.1,9.2,1471,0.034,0.021,0.0074,342,14.1,11.3,7.4,285
Sorocea,affinis,Moraceae,0.646,0.077688,9.4,47.4,0.111,0.084,0.031,11108,16.5,15.0,12.0,9288,0.016,0.013,-0.0002,122,34.6,32.2,25.9,108
Spondias,radlkoferi,Anacardiacea,0.363,0.016950,30.8,48.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.058,0.045,0.0186,280,10.9,8.2,5.9,221
Stylogyne,turbacensis,Myrsinaceae,0.569,0.035900,8.2,97.6,0.104,0.076,0.024,2661,24.9,23.5,20.3,2153,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Swartzia,simplex_var.,Fabaceae:Pap,0.773,-99.000000,17.1,76.3,0.088,0.065,0.023,9540,8.9,7.3,6.0,7518,0.027,0.019,0.0068,998,7.2,6.5,3.8,796
Swartzia,simplex_var.,Fabaceae:Pap,0.784,0.849488,14.2,87.8,0.079,0.058,0.020,10532,6.6,6.0,4.8,8434,0.022,0.016,0.0044,568,7.1,4.5,3.4,445
Symphonia,globulifera,Clusiaceae,0.545,1.028950,28.0,57.9,0.116,0.099,0.043,498,18.0,20.4,16.4,403,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Tabebuia,guayacan,Bignoniaceae,0.790,-99.000000,36.8,22.9,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.047,0.03,0.0123,139,0.0,3.7,2.8,109
Tabebuia,rosea,Bignoniaceae,0.489,0.018505,40.4,37.3,0.137,0.102,0.037,656,33.1,29.0,20.8,553,0.042,0.027,0.0092,295,23.8,16.1,10.9,238
Tabernaemont,arborea,Apocynaceae,0.538,0.068031,28.1,32.9,0.142,0.104,0.037,4060,19.8,17.0,11.8,3212,0.073,0.058,0.0232,1288,11.7,10.1,7.0,996
Tachigali,versicolor,Fabaceae:Cae,0.582,0.105295,32.6,44.9,0.121,0.097,0.035,10339,31.7,30.6,22.9,8756,0.087,0.068,0.0316,346,34.3,24.4,15.1,271
Talisia,nervosa,Sapindaceae,0.663,0.353484,7.6,81.2,0.073,0.055,0.018,3392,8.0,7.2,6.3,2762,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Talisia,princeps,Sapindaceae,0.725,0.463500,11.8,69.3,0.088,0.064,0.021,2451,14.8,13.9,14.0,1982,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Terminalia,oblonga,Combretaceae,0.634,-99.000000,35.4,29.5,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.059,0.041,0.0177,153,6.5,7.9,5.5,127
Tetragastris,panamensis,Burseraceae,0.589,0.294750,31.3,74.8,0.111,0.086,0.030,13928,18.6,16.6,12.4,11034,0.043,0.034,0.0138,1616,9.6,7.5,5.2,1259
Trattinnicki,aspera,Burseraceae,0.439,0.006370,29.0,54.6,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.076,0.049,0.0236,189,34.2,27.6,17.5,154
