taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2480773	Plegadis falcinellus (Linnaeus, 1766)	2480773	Plegadis falcinellus (Linnaeus, 1766)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Threskiornithidae	5288	Plegadis	8171676	Plegadis falcinellus	2480773	LC
6065965	Tringa semipalmata inornata (Brewster, 1887)	6065965	Tringa semipalmata inornata (Brewster, 1887)	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa semipalmata	5789298	
6175481	Loxia curvirostra benti Griscom, 1937	6175481	Loxia curvirostra benti Griscom, 1937	4	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Loxia	2494150	Loxia curvirostra	9629160	
7192446	Charadrius vociferus vociferus Linnaeus, 1758	7192446	Charadrius vociferus vociferus Linnaeus, 1758	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius vociferus	2480320	
2491677	Calcarius ornatus (J.K.Townsend, 1837)	2491677	Calcarius ornatus (J.K.Townsend, 1837)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Calcariidae	6101141	Calcarius	2491676	Calcarius ornatus	2491677	VU
6175140	Quiscalus quiscula versicolor Vieillot, 1819	6175140	Quiscalus quiscula versicolor Vieillot, 1819	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Quiscalus	2484132	Quiscalus quiscula	2484155	
5739298	Aegolius funereus (Linnaeus, 1758)	5739298	Aegolius funereus (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Aegolius	8095667	Aegolius funereus	5739298	LC
5739290	Phalaropus lobatus (Linnaeus, 1758)	5739290	Phalaropus lobatus (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Phalaropus	9549339	Phalaropus lobatus	5739290	LC
6093856	Parkesia noveboracensis (J.F.Gmelin, 1789)	6093856	Parkesia noveboracensis (J.F.Gmelin, 1789)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Parkesia	6093857	Parkesia noveboracensis	6093856	LC
2498265	Aythya marila (Linnaeus, 1761)	2498265	Aythya marila (Linnaeus, 1761)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Aythya	2498254	Aythya marila	2498265	LC
2490494	Pheucticus ludovicianus (Linnaeus, 1766)	2490494	Pheucticus ludovicianus (Linnaeus, 1766)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Pheucticus	2490486	Pheucticus ludovicianus	2490494	LC
2491719	Plectrophenax nivalis (Linnaeus, 1758)	2491719	Plectrophenax nivalis (Linnaeus, 1758)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Calcariidae	6101141	Plectrophenax	2491717	Plectrophenax nivalis	2491719	LC
11297138	Astur atricapillus (Wilson, 1812)	10542232	Falco atricapillus Wilson, 1812	3	SPECIES		Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco atricapillus	10542232	
2484605	Bombycilla garrulus (Linnaeus, 1758)	2484605	Bombycilla garrulus (Linnaeus, 1758)	3	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Bombycillidae	5215	Bombycilla	2484604	Bombycilla garrulus	2484605	LC
2481756	Calidris fuscicollis (Vieillot, 1819)	2481756	Calidris fuscicollis (Vieillot, 1819)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris fuscicollis	2481756	VU
6171856	Catharus guttatus auduboni (S.F.Baird, 1864)	6171856	Catharus guttatus auduboni (S.F.Baird, 1864)	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Catharus	2490799	Catharus guttatus	2490810	
2482051	Podiceps grisegena (Boddaert, 1783)	2482051	Podiceps grisegena (Boddaert, 1783)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps grisegena	2482051	LC
2480251	Anarhynchus Quoy & Gaimard, 1832	2480251	Anarhynchus Quoy & Gaimard, 1832	1	GENUS		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Anarhynchus	2480251			
6177448	Colaptes auratus luteus Bangs, 1898	6177448	Colaptes auratus luteus Bangs, 1898	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Colaptes	11016979	Colaptes auratus	2478259	
2489160	Riparia riparia (Linnaeus, 1758)	2489160	Riparia riparia (Linnaeus, 1758)	4	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Riparia	2489158	Riparia riparia	2489160	LC
9180697	Falco sparverius sparverius Linnaeus, 1758	9180697	Falco sparverius sparverius Linnaeus, 1758	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco sparverius	9685907	
5229930	Icterus parisorum Bonaparte, 1838	5229930	Icterus parisorum Bonaparte, 1838	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Icterus	2484282	Icterus parisorum	5229930	LC
2498338	Cygnus columbianus (Ord, 1815)	2498338	Cygnus columbianus (Ord, 1815)	3	SPECIES		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cygnus	8996942	Cygnus columbianus	2498338	LC
9018037	Antigone canadensis tabida (J.L.Peters, 1925)	6176784	Grus canadensis tabida J.L.Peters, 1925	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Gruidae	9313	Grus	2474940	Grus canadensis	2474953	
7341806	Setophaga coronata coronata (Linnaeus, 1766)	7341805	Setophaga coronata (Linnaeus, 1766)	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga coronata	7341805	
2497415	Megascops asio (Linnaeus, 1758)	2497415	Megascops asio (Linnaeus, 1758)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Megascops	2497318	Megascops asio	2497415	LC
7191207	Cathartes aura aura (Linnaeus, 1758)	7191207	Cathartes aura aura (Linnaeus, 1758)	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	
2484340	Icterus galbula (Linnaeus, 1758)	2484340	Icterus galbula (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Icterus	2484282	Icterus galbula	2484340	LC
